,trainData,From Mobile App PDF,Camera,PDF
102,Divorced /,Widowed/,Postcode /,Others/
103,Bercerai,Balu,Poskod,Lain-lain
104,Indian/,b. Residence telephone number / Nombor telefon kediaman,Residential address (if different from correspondence address) /,b. Residence telephone number / Nombor telefon kediaman
105,India,c. Office telephone number/Nombor telefon pejabat,Alamat rumah (jika lain dari alamat surat-menyurat),c. Office telephone number / Nombor telefon pejabat
106,Occupation / Pekerjaan,Your policy/certificate will be sent to your email address stated above. You may also refer to your policy/certificate details anytime via our client portal,15-Feb,Widowed/
107,Residential address (if different from correspondence address) /,"sunaccess.sunlifemalaysia.com/portal-ui/CUSTOMER/login. If there is no valid email address provided, your policy/certificate will be mailed to your correspondence",Widowed/,Balu
108,Alamat rumah (jika lain dari alamat surat-menyurat),address./Polisi/sijil anda akan dihantar kepada emel anda seperti di atas. Anda juga boleh merujuk kepada butiran polisi/sijil anda pada bila-bila masa melalui,Balu,Your policy/certificate will be sent to your email address stated above. You may also refer to your policy/certificate details anytime via our client portal
109,Postcode /,"sunaccess.sunlifemalaysia.com/portalui/CUSTOMER/login. Jika tiada emel sah diberi, polisi/sijil anda akan dihantar ke alamat surat-menyurat anda.",Postcode /,"sunaccess.sunlifemalaysia.com/portal-ui/CUSTOMER/login. If there is no valid email address provided, your policy/certificate will be mailed to your correspondence"
110,Poskod,Please select the preferred language for your policy/certificate./Sila pilih bahasa yang dikehendaki untuk polisi/sijil anda.,Poskod,address. / Polisi/sijil anda akan dihantar kepada emel anda seperti di atas. Anda juga boleh merujuk kepada butiran polisi/sijil anda pada bila-bila masa melalui
111,Phone number / Nombor telefon,English / Bahasa Inggeris,Others/,"sunaccess.sunlifemalaysia.com/portalui/CUSTOMER/login. Jika tiada emel sah diberi, polisi/sijil anda akan dihantar ke alamat surat-menyurat anda."
112,a. Mobile telephone number / Nombor telefon bimbit,Malay / Bahasa Melayu,Lain-lain,Please select the preferred language for your policy/certificate./ Sila pilih bahasa yang dikehendaki untuk polisi/sijil anda.
113,Postcode /,"If there is no preference selected, your policy/certificate will be in English. / Jika tiada pilihan dibuat, Bahasa Inggeris akan digunakan untuk polisi/sijil anda.",Phone number / Nombor telefon,English / Bahasa Inggeris
114,Poskod,Monthly income / Pendapatan bulanan,a. Mobile telephone number / Nombor telefon bimbit,Malay / Bahasa Melayu
115,Others /,Monthly income / Pendapatan bulanan,b. Residence telephone number / Nombor telefon kediaman,"If there is no preference selected, your policy/certificate will be in English./Jika tiada pilihan dibuat, Bahasa Inggeris akan digunakan untuk polisi/sijil anda"
116,Lain-lain,RM2000,c. Office telephone number / Nombor telefon pejabat,Monthly income / Pendapatan bulanan
117,b. Residence telephone number / Nombor telefon kediaman,RM,D,Monthly income / Pendapatan bulanan
118,c. Office telephone number / Nombor telefon pejabat,Occupation / Pekerjaan,Your policy/certificate will be sent to your email address stated above. You may also refer to your policy/certificate details anytime via our client portal,RM2000
119,Widowed /,,"sunaccess.sunlifemalaysia.com/portal-ui/CUSTOMER/login. If there is no valid email address provided, your policy/certificate will be mailed to your corresponderice",R M
120,Balu,,address. / Polisi/sijil anda akan dihantar kepada emel anda seperti di atas. Anda juga boleh merujuk kepada butiran polisi/sijil anda pada bila-bila masa melalul,
121,Your policy/certificate will be sent to your email address stated above. You may also refer to your policy/certificate details anytime via our client portal,,"sunaccess.sunlifemalaysia.com/portal-ui/CUSTOMER/login. Jika tiada emel sah diberi, polisi/sijil anda akan dihantar ke alamat surat-menyurat anda.",
122,"sunaccess.sunlifemalaysia.com/portal-ui/CUSTOMER/login. If there is no valid email address provided, your policy/certificate will be mailed to your correspondence",,Please select the preferred language for your policy/certificate. / Sila pilih bahasa yang dikehendaki untuk polisi/sijil anda.,
123,address. / Polisi/sijil anda akan dihantar kepada emel anda seperti di atas. Anda juga boleh merujuk kepada butiran polisi/sijil anda pada bila-bila masa melalui,,TI,
124,"sunaccess.sunlifemalaysia.com/portal-ui/CUSTOMER/login. Jika tiada emel sah diberi, polisi/sijil anda akan dihantar ke alamat surat-menyurat anda.",,English / Bahasa Inggeris,
125,Please select the preferred language for your policy/certificate. / Sila pilih bahasa yang dikehendaki untuk polisi/sijil anda.,,Malay / Bahasa Melayu,
126,English / Bahasa Inggeris,,"If there is no preference selected, your policy/certificate will be in English. / Jika tiada pilihan dibuat, Bahasa Inggeris akan digunakan untuk polisi/sijil anda.",
127,Malay / Bahasa Melayu,,Monthly income / Pendapatan bulanan,
128,"If there is no preference selected, your policy/certificate will be in English. / Jika tiada pilihan dibuat, Bahasa Inggeris akan digunakan untuk polisi/sijil anda.",,Monthly income / Pendapatan bulanan,
129,Monthly income / Pendapatan bulanan,,R M2000,
130,Monthly income / Pendapatan bulanan,,R M,
131,R M2000,,Occupation/ Pekerjaan,
132,R M,,,
